Tweet_count,Username,Text,Created At,Retweets,Likes
49,Elon Musk,@cb_doge Thanks 🤣🤣,Fri Dec 29 16:47:52 +0000 2023,59,1412
50,Elon Musk,@johnkrausphotos Great year,Fri Dec 29 16:35:54 +0000 2023,55,1293
51,Elon Musk,@WholeMarsBlog Coming soon,Fri Dec 29 17:48:35 +0000 2023,81,1518
52,Elon Musk,@bevedoni He is utterly wrong,Fri Dec 29 16:57:02 +0000 2023,80,1363
53,Elon Musk,@tunguz Can’t spelling economics without “con”,Fri Dec 29 16:32:08 +0000 2023,54,778
54,Elon Musk,"@dogeofficialceo Good to hear. 

More improvements coming!",Fri Dec 29 16:35:31 +0000 2023,51,837
55,Elon Musk,@shaunmmaguire It just in order to build a self-sustaining city on Mars,Fri Dec 29 16:59:20 +0000 2023,73,999
56,Elon Musk,"@NicklasNilsso14 Yay🇸🇪 Sweden 🇸🇪 !!

Thanks to the excellent Tesla team in Sweden!",Fri Dec 29 16:34:28 +0000 2023,165,2515
57,Elon Musk,Falcon Heavy ascent &amp; boosters landing https://t.co/R5X6qYAnYN,Fri Dec 29 15:58:26 +0000 2023,3886,41914
58,Elon Musk,Amazing,Fri Dec 29 16:08:59 +0000 2023,33565,192267
59,Elon Musk,@WholeMarsBlog Yahoo news is unreadable 💩,Fri Dec 29 14:04:01 +0000 2023,131,1951
60,Elon Musk,@BillMelugin_ This is insane,Fri Dec 29 15:50:20 +0000 2023,1557,14389
61,Elon Musk,@RepThomasMassie Interesting,Fri Dec 29 16:14:18 +0000 2023,287,4985
62,Elon Musk,@chamath True,Fri Dec 29 08:07:07 +0000 2023,35,799
63,Elon Musk,@WholeMarsBlog It is increasingly clear that all roads lead to AGI. Tesla is building an extremely compute-efficient mini AGI for FSD.,Fri Dec 29 07:50:41 +0000 2023,406,3850
64,Elon Musk,@Culture_Crit Seriously,Fri Dec 29 16:25:25 +0000 2023,52,1479
65,Elon Musk,@growing_daniel Been there,Fri Dec 29 08:20:38 +0000 2023,43,1120
66,Elon Musk,@TMZLive @jkundert TMZ is underrated,Fri Dec 29 14:47:41 +0000 2023,53,857
67,Elon Musk,@JonErlichman Asimov was amazing. His Foundation books were an inspiration for the need to make life multiplanetary while civilization is still strong.,Fri Dec 29 16:24:16 +0000 2023,93,1166
68,Elon Musk,@NovareProject Starship is a whole new level,Fri Dec 29 16:01:23 +0000 2023,97,1704
69,Elon Musk,@johnpisaniphoto @considercosmos We will return to the moon soon,Fri Dec 29 08:06:01 +0000 2023,323,3166
70,Elon Musk,"@Not_the_Bee The mayor of New York, who is a Democrat, is saying in the strongest possible terms that his city’s services are collapsing under the strain of so many illegal immigrants! 

They have run out of hotel rooms. Where are they meant to live?",Fri Dec 29 16:28:00 +0000 2023,306,2119
71,Elon Musk,@gigafactories Congrats on a great year by all Tesla factories!,Fri Dec 29 08:04:51 +0000 2023,283,4228
72,Elon Musk,"@FutureJurvetson @SpaceX And, if all goes well, SpaceX’s total launch mass to orbit will increase ~50% next year, not including Starship",Fri Dec 29 15:49:19 +0000 2023,184,2565
73,Elon Musk,"@DanaEn803 @arstechnica @SciGuySpace The super heavy booster can be used more frequently than the ship, as it returns in about ~6 minutes and can theoretically be ready for reflght in an hour. 

The ship needs to complete at least one orbit, but often several to have the ground track line back up with the launch",Fri Dec 29 14:14:11 +0000 2023,1078,7996
74,Elon Musk,Completed Tier 25 AoZ with a lot of help :) https://t.co/8r3RhNEZqx,Thu Dec 28 01:44:09 +0000 2023,4481,49493
75,Elon Musk,Don’t Look Up https://t.co/jC7gdjtcAe,Thu Dec 28 05:36:18 +0000 2023,2669,18923
76,Elon Musk,@cb_doge Finally https://t.co/jWpLYy8mz1,Fri Dec 29 05:29:12 +0000 2023,145,1562
77,Elon Musk,Congrats to the SpaceX team on achieving 96 launches in 2023!,Fri Dec 29 07:00:26 +0000 2023,7281,66339
78,Elon Musk,@DrKnowItAll16 Absolutely,Thu Dec 28 05:45:57 +0000 2023,59,1248
79,Elon Musk,@shaunmmaguire True,Fri Dec 29 16:58:59 +0000 2023,26,541
80,Elon Musk,@JonErlichman Interesting,Fri Dec 29 07:34:11 +0000 2023,51,935
81,Elon Musk,@BillyM2k 😂 so may times,Thu Dec 28 05:06:50 +0000 2023,85,1583
82,Elon Musk,@DavidSacks Many deaths could have been avoided,Thu Dec 28 01:52:32 +0000 2023,315,3610
83,Elon Musk,@SawyerMerritt He has the wrong frame of reference. Tesla is an AI/robotics company.,Thu Dec 28 02:41:35 +0000 2023,684,6652
84,Elon Musk,"@AlexJonesMW3 @X Yup, we’re working on it",Thu Dec 28 01:57:04 +0000 2023,160,3323
85,Elon Musk,@all_in_tok @BrendanCarrFCC “Just a coincidence”,Fri Dec 29 07:03:19 +0000 2023,90,1136
86,Elon Musk,@MikeBenzCyber @DavidSacks Bombastic bonehead in extremis,Fri Dec 29 07:02:53 +0000 2023,61,816
87,Elon Musk,@SawyerMerritt This false story was parroted by hundreds of publications worldwide,Fri Dec 29 07:19:05 +0000 2023,376,4043
88,Elon Musk,"@Albz321 Yes, we are adding the ability to attach rich text docs",Thu Dec 28 04:32:54 +0000 2023,66,1331
89,Elon Musk,"@TeslaSynopsis It is already on a lot of cars, but, given that is a completely new architecture, we are doing extra testing.

It works very well in California, but needs more training for heavy precipitation areas.",Thu Dec 28 01:56:27 +0000 2023,309,3797
90,Elon Musk,@DrKnowItAll16 @TMZ @HarveyLevinTMZ TMZ has higher journalistic standards than most “mainstream” publications,Fri Dec 29 03:55:35 +0000 2023,79,1354
91,Elon Musk,"@MikeBenzCyber You cannot be weak, but I strongly disagree. “An eye for an eye” is foolish and primitive, leading to an endless cycle of retribution.",Fri Dec 29 07:32:09 +0000 2023,130,1522
92,Elon Musk,"@sundeep @pmarca That used to be true, but these days the losers are very much alive and have a lot of time on their hands to edit Wikipedia!",Fri Dec 29 06:57:40 +0000 2023,156,1669
